College,Branch,Category,Rank
E173,DS,2AG,64764
E173,DS,2AK,0
E173,DS,2AR,69065
E173,DS,2BG,73729
E173,DS,2BK,0
E173,DS,2BR,156782
E173,DS,3AG,56401
E173,DS,3AK,89724
E173,DS,3AR,68887
E173,DS,3BG,60503
E173,DS,3BK,0
E173,DS,3BR,0
E173,DS,GM,55664
E173,DS,GMK,78647
E173,DS,GMR,62018
E173,DS,SCG,143099
E173,DS,SCK,0
E173,DS,SCR,0
E173,DS,STG,0
E173,DS,STK,0
E173,DS,STR,0
E173,EC,1G,62722
E173,EC,1K,0
E173,EC,1R,0
E173,EC,2AG,66020
E173,EC,2AK,75793
E173,EC,2AR,87970
E173,EC,2BG,73259
E173,EC,2BK,0
E173,EC,2BR,0
E173,EC,3AG,57019
E173,EC,3AK,0
E173,EC,3AR,69054
E173,EC,3BG,60842
E173,EC,3BK,0
E173,EC,3BR,0
E173,EC,GM,54580
E173,EC,GMK,68710
E173,EC,GMR,58508
E173,EC,SCG,148333
E173,EC,SCK,177212
E173,EC,SCR,172083
E173,EC,STG,163399
E173,EC,STK,0
E173,EC,STR,0
E173,IE,1G,45592
E173,IE,1K,0
E173,IE,1R,50506
E173,IE,2AG,40143
E173,IE,2AK,0
E173,IE,2AR,48834
E173,IE,2BG,56780
E173,IE,2BK,0
E173,IE,2BR,0
E173,IE,3AG,37041
E173,IE,3AK,0
E173,IE,3AR,0
E173,IE,3BG,41175
E173,IE,3BK,0
E173,IE,3BR,0
E173,IE,GM,36992
E173,IE,GMK,47803
E173,IE,GMR,45609
E173,IE,SCG,113612
E173,IE,SCK,0
E173,IE,SCR,141560
E173,IE,STG,182934
E173,IE,STK,0
E173,IE,STR,0
E173,ME,1G,0
E173,ME,1K,0
E173,ME,1R,0
E173,ME,2AG,0
E173,ME,2AK,0
E173,ME,2AR,0
E173,ME,2BG,0
E173,ME,2BK,0
E173,ME,2BR,0
E173,ME,3AG,0
E173,ME,3AK,0
E173,ME,3AR,0
E173,ME,3BG,0
E173,ME,3BK,0
E173,ME,3BR,0
E173,ME,GM,189892
E173,ME,GMK,0
E173,ME,GMR,0
E173,ME,SCG,0
E173,ME,SCK,0
E173,ME,SCR,0
E173,ME,STG,0
E173,ME,STK,0
E173,ME,STR,0
E174,CE,1G,0
E174,CE,1K,0
E174,CE,1R,0
E174,CE,2AG,0
E174,CE,2AK,0
E174,CE,2AR,0
E174,CE,2BG,0
E174,CE,2BK,0
E174,CE,2BR,0
E174,CE,3AG,0
E174,CE,3AK,0
E174,CE,3AR,0
E174,CE,3BG,0
E174,CE,3BK,0
E174,CE,3BR,0
E174,CE,GM,0
E174,CE,GMK,0
E174,CE,GMR,0
E174,CE,SCG,0
E174,CE,SCK,0
E174,CE,SCR,0
E174,CE,STG,0
E174,CE,STK,0
E174,CE,STR,0
E174,CS,1G,71977
E174,CS,1K,0
E174,CS,1R,0
E174,CS,2AG,71810
E174,CS,2AK,0
E174,CS,2AR,80277
E174,CS,2BG,78072
E174,CS,2BK,0
E174,CS,2BR,0
E174,CS,3AG,64321
E174,CS,3AK,0
E174,CS,3AR,0
E174,CS,3BG,65736
E174,CS,3BK,0
E174,CS,3BR,69510
E174,CS,GM,63759
E174,CS,GMK,64143
E174,CS,GMR,67784
E174,CS,SCG,113903
E174,CS,SCK,126894
E174,CS,SCR,138543
E174,CS,STG,132361
E174,CS,STK,0
E174,CS,STR,157211
E174,EC,1G,0
E174,EC,1K,0
E174,EC,1R,113430
E174,EC,2AG,88207
E174,EC,2AK,0
E174,EC,2AR,0
E174,EC,2BG,0
E174,EC,2BK,0
E174,EC,2BR,0
E174,EC,3AG,0
E174,EC,3AK,0
E174,EC,3AR,0
E174,EC,3BG,85356
E174,EC,3BK,0
E174,EC,3BR,0
E174,EC,GM,81710
E174,EC,GMK,0
E174,EC,GMR,85871
E174,EC,SCG,166352
E174,EC,SCK,0
E174,EC,SCR,0
E174,EC,STG,0
E174,EC,STK,0
E174,EC,STR,0
E174,EE,1G,116865
E174,EE,1K,0
E174,EE,1R,0
E174,EE,2AG,110930
E174,EE,2AK,0
E174,EE,2AR,0
E174,EE,2BG,0
E174,EE,2BK,0
E174,EE,2BR,0
E174,EE,3AG,0
E174,EE,3AK,0
E174,EE,3AR,127910
E174,EE,3BG,0
E174,EE,3BK,0
E174,EE,3BR,0
E174,EE,GM,102585
E174,EE,GMK,125664
E174,EE,GMR,122276
E174,EE,SCG,188231
E174,EE,SCK,0
E174,EE,SCR,0
E174,EE,STG,199197
E174,EE,STK,0
E174,EE,STR,0
E174,IE,1G,83016
E174,IE,1K,0
E174,IE,1R,0
E174,IE,2AG,84547
E174,IE,2AK,0
E174,IE,2AR,87720
E174,IE,2BG,93097
E174,IE,2BK,0
E174,IE,2BR,0
E174,IE,3AG,77088
E174,IE,3AK,0
E174,IE,3AR,0
E174,IE,3BG,81095
E174,IE,3BK,0
E174,IE,3BR,0
E174,IE,GM,76566
E174,IE,GMK,78372
E174,IE,GMR,77756
E174,IE,SCG,143322
E174,IE,SCK,0
E174,IE,SCR,152458
E174,IE,STG,0
E174,IE,STK,0
E174,IE,STR,0
E174,ME,1G,0
E174,ME,1K,0
E174,ME,1R,0
E174,ME,2AG,0
E174,ME,2AK,0
E174,ME,2AR,0
E174,ME,2BG,0
E174,ME,2BK,0
E174,ME,2BR,0
E174,ME,3AG,0
E174,ME,3AK,0
E174,ME,3AR,0
E174,ME,3BG,0
E174,ME,3BK,0
E174,ME,3BR,0
E174,ME,GM,0
E174,ME,GMK,0
E174,ME,GMR,0
E174,ME,SCG,0
E174,ME,SCK,0
E174,ME,SCR,0
E174,ME,STG,0
E174,ME,STK,0
E174,ME,STR,0
E175,AD,1G,64413
E175,AD,1K,0
E175,AD,1R,115788
E175,AD,2AG,67426
E175,AD,2AK,0
E175,AD,2AR,69129
E175,AD,2BG,58362
E175,AD,2BK,0
E175,AD,2BR,0
E175,AD,3AG,70076
E175,AD,3AK,0
E175,AD,3AR,0
E175,AD,3BG,59087
E175,AD,3BK,0
E175,AD,3BR,0
E175,AD,GM,56896
E175,AD,GMK,60185
E175,AD,GMR,67157
E175,AD,SCG,141038
E175,AD,SCK,0
E175,AD,SCR,202957
E175,AD,STG,121299
E175,AD,STK,184918
E175,AD,STR,192414
E175,CB,1G,106600
E175,CB,1K,0
E175,CB,1R,0
E175,CB,2AG,109539
E175,CB,2AK,137485
E175,CB,2AR,186705
E175,CB,2BG,118995
E175,CB,2BK,0
E175,CB,2BR,0
E175,CB,3AG,124510
E175,CB,3AK,0
E175,CB,3AR,0
E175,CB,3BG,90308
E175,CB,3BK,0
E175,CB,3BR,125489
E175,CB,GM,81359
E175,CB,GMK,82528
E175,CB,GMR,124972
E175,CB,SCG,184775
E175,CB,SCK,0
E175,CB,SCR,0
E175,CB,STG,165870
E175,CB,STK,0
E175,CB,STR,0
E175,CE,1G,0
E175,CE,1K,0
E175,CE,1R,0
E175,CE,2AG,0
E175,CE,2AK,0
E175,CE,2AR,0
E175,CE,2BG,0
E175,CE,2BK,0
E175,CE,2BR,0
E175,CE,3AG,0
E175,CE,3AK,0
E175,CE,3AR,0
E175,CE,3BG,0
E175,CE,3BK,0
E175,CE,3BR,0
E175,CE,GM,194234
E175,CE,GMK,0
E175,CE,GMR,0
E175,CE,SCG,0
E175,CE,SCK,0
E175,CE,SCR,0
E175,CE,STG,0
E175,CE,STK,0
E175,CE,STR,0
E175,CS,1G,47457
E175,CS,1K,0
E175,CS,1R,0
E175,CS,2AG,43017
E175,CS,2AK,45112
E175,CS,2AR,45840
E175,CS,2BG,43330
E175,CS,2BK,0
E175,CS,2BR,0
E175,CS,3AG,50724
E175,CS,3AK,0
E175,CS,3AR,58820
E175,CS,3BG,39779
E175,CS,3BK,0
E175,CS,3BR,44902
E175,CS,GM,36850
E175,CS,GMK,38417
E175,CS,GMR,44596
E175,CS,SCG,103392
E175,CS,SCK,105562
E175,CS,SCR,106183
E175,CS,STG,122618
E175,CS,STK,0
E175,CS,STR,140956
E175,EC,1G,58711
E175,EC,1K,0
E175,EC,1R,71023
E175,EC,2AG,54804
E175,EC,2AK,0
E175,EC,2AR,60714
